Voltage U1	Corriente IA
U1/V	IA/nA

0.02	0.09
0.04	0.09
0.07	0.11
0.09	0.11
0.12	0.11
0.14	0.11
0.17	0.13
0.19	0.13
0.21	0.13
0.24	0.15
0.26	0.14
0.29	0.14
0.31	0.16
0.34	0.16
0.36	0.16
0.39	0.17
0.41	0.16
0.43	0.16
0.46	0.16
0.48	0.17
0.51	0.16
0.53	0.16
0.56	0.17
0.58	0.16
0.61	0.16
0.63	0.18
0.65	0.16
0.68	0.16
0.70	0.16
0.73	0.15
0.75	0.15
0.78	0.15
0.80	0.17
0.83	0.15
0.85	0.15
0.87	0.18
0.90	0.16
0.92	0.16
0.95	0.17
0.97	0.15
1.00	0.15
1.02	0.16
1.05	0.16
1.07	0.15
1.09	0.15
1.12	0.18
1.14	0.16
1.17	0.16
1.19	0.18
1.22	0.16
1.24	0.16
1.26	0.17
1.29	0.15
1.31	0.15
1.34	0.15
1.36	0.16
1.39	0.15
1.41	0.15
1.44	0.17
1.46	0.15
1.48	0.15
1.51	0.17
1.53	0.14
1.56	0.14
1.58	0.15
1.61	0.15
1.63	0.15
1.66	0.15
1.68	0.16
1.70	0.15
1.73	0.15
1.75	0.17
1.78	0.15
1.80	0.15
1.83	0.16
1.85	0.15
1.88	0.15
1.90	0.15
1.92	0.16
1.95	0.15
1.97	0.15
2.00	0.17
2.02	0.15
2.05	0.15
2.07	0.17
2.10	0.15
2.12	0.15
2.14	0.17
2.17	0.15
2.19	0.15
2.22	0.17
2.24	0.17
2.27	0.15
2.29	0.18
2.31	0.18
2.34	0.16
2.36	0.17
2.39	0.17
2.41	0.15
2.44	0.15
2.46	0.17
2.49	0.15
2.51	0.15
2.53	0.18
2.56	0.17
2.58	0.16
2.61	0.18
2.63	0.18
2.66	0.17
2.68	0.17
2.71	0.18
2.73	0.16
2.75	0.16
2.78	0.18
2.80	0.16
2.83	0.16
2.85	0.18
2.88	0.16
2.90	0.16
2.93	0.18
2.95	0.15
2.97	0.15
3.00	0.16
3.02	0.16
3.05	0.16
3.07	0.16
3.10	0.18
3.12	0.16
3.15	0.16
3.17	0.19
3.19	0.16
3.22	0.16
3.24	0.17
3.27	0.16
3.29	0.16
3.32	0.16
3.34	0.17
3.36	0.16
3.39	0.16
3.41	0.18
3.44	0.16
3.46	0.16
3.49	0.18
3.51	0.16
3.54	0.16
3.56	0.17
3.58	0.16
3.61	0.16
3.63	0.16
3.66	0.17
3.68	0.16
3.71	0.16
3.73	0.18
3.76	0.16
3.78	0.16
3.80	0.17
3.83	0.15
3.85	0.15
3.88	0.16
3.90	0.16
3.93	0.15
3.95	0.15
3.98	0.17
4.00	0.16
4.02	0.16
4.05	0.18
4.07	0.16
4.10	0.16
4.12	0.17
4.15	0.16
4.17	0.16
4.20	0.16
4.22	0.17
4.24	0.16
4.27	0.16
4.29	0.18
4.32	0.16
4.34	0.16
4.37	0.18
4.39	0.16
4.42	0.16
4.44	0.16
4.46	0.16
4.49	0.16
4.51	0.16
4.54	0.18
4.56	0.17
4.59	0.17
4.61	0.17
4.63	0.14
4.66	0.15
4.68	0.16
4.71	0.14
4.73	0.14
4.76	0.16
4.78	0.15
4.81	0.14
4.83	0.16
4.85	0.16
4.88	0.15
4.90	0.16
4.93	0.16
4.95	0.14
4.98	0.14
5.00	0.16
5.03	0.14
5.05	0.14
5.07	0.16
5.10	0.15
5.12	0.14
5.15	0.16
5.17	0.16
5.20	0.14
5.22	0.15
5.25	0.15
5.27	0.15
5.29	0.16
5.32	0.16
5.34	0.15
5.37	0.15
5.39	0.17
5.42	0.16
5.44	0.16
5.47	0.17
5.49	0.15
5.51	0.15
5.54	0.16
5.56	0.16
5.59	0.15
5.61	0.15
5.64	0.17
5.66	0.16
5.68	0.16
5.71	0.18
5.73	0.16
5.76	0.16
5.78	0.17
5.81	0.15
5.83	0.15
5.86	0.16
5.88	0.16
5.90	0.15
5.93	0.15
5.95	0.18
5.98	0.16
6.00	0.16
6.03	0.18
6.05	0.16
6.08	0.16
6.10	0.17
6.12	0.16
6.15	0.16
6.17	0.16
6.20	0.17
6.22	0.16
6.25	0.16
6.27	0.19
6.30	0.16
6.32	0.16
6.34	0.18
6.37	0.16
6.39	0.16
6.42	0.16
6.44	0.16
6.47	0.16
6.49	0.16
6.52	0.17
6.54	0.16
6.56	0.16
6.59	0.18
6.61	0.16
6.64	0.16
6.66	0.17
6.69	0.16
6.71	0.16
6.73	0.16
6.76	0.17
6.78	0.16
6.81	0.16
6.83	0.18
6.86	0.16
6.88	0.16
6.91	0.18
6.93	0.15
6.95	0.15
6.98	0.16
