Voltage U1	Corriente IA
U1/V	IA/nA

0.02	0.34
0.04	0.34
0.07	0.31
0.09	0.29
0.12	0.29
0.14	0.27
0.17	0.25
0.19	0.24
0.21	0.23
0.24	0.20
0.26	0.19
0.29	0.18
0.31	0.16
0.34	0.14
0.36	0.15
0.39	0.15
0.41	0.13
0.43	0.15
0.46	0.15
0.48	0.13
0.51	0.14
0.53	0.15
0.56	0.14
0.58	0.13
0.61	0.15
0.63	0.15
0.65	0.13
0.68	0.15
0.70	0.15
0.73	0.13
0.75	0.15
0.78	0.15
0.80	0.13
0.83	0.14
0.85	0.15
0.87	0.14
0.90	0.13
0.92	0.15
0.95	0.15
0.97	0.14
1.00	0.15
1.02	0.15
1.05	0.14
1.07	0.14
1.09	0.15
1.12	0.14
1.14	0.13
1.17	0.15
1.19	0.15
1.22	0.13
1.24	0.15
1.26	0.15
1.29	0.13
1.31	0.14
1.34	0.15
1.36	0.13
1.39	0.13
1.41	0.15
1.44	0.14
1.46	0.13
1.48	0.15
1.51	0.15
1.53	0.13
1.56	0.14
1.58	0.14
1.61	0.13
1.63	0.14
1.66	0.15
1.68	0.14
1.70	0.13
1.73	0.15
1.75	0.15
1.78	0.13
1.80	0.15
1.83	0.15
1.85	0.13
1.88	0.15
1.90	0.15
1.92	0.13
1.95	0.13
1.97	0.15
2.00	0.15
2.02	0.13
2.05	0.15
2.07	0.15
2.10	0.13
2.12	0.15
2.14	0.15
2.17	0.13
2.19	0.14
2.22	0.14
2.24	0.13
2.27	0.14
2.29	0.14
2.31	0.14
2.34	0.14
2.36	0.14
2.39	0.14
2.41	0.13
2.44	0.14
2.46	0.14
2.49	0.13
2.51	0.14
2.53	0.14
2.56	0.13
2.58	0.14
2.61	0.14
2.63	0.14
2.66	0.13
2.68	0.13
2.71	0.13
2.73	0.12
2.75	0.13
2.78	0.13
2.80	0.12
2.83	0.14
2.85	0.14
2.88	0.12
2.90	0.15
2.93	0.15
2.95	0.13
2.97	0.14
3.00	0.14
3.02	0.12
3.05	0.13
3.07	0.14
3.10	0.14
3.12	0.12
3.15	0.14
3.17	0.14
3.19	0.13
3.22	0.15
3.24	0.15
3.27	0.13
3.29	0.14
3.32	0.14
3.34	0.13
3.36	0.13
3.39	0.14
3.41	0.14
3.44	0.13
3.46	0.15
3.49	0.15
3.51	0.13
3.54	0.14
3.56	0.14
3.58	0.13
3.61	0.14
3.63	0.15
3.66	0.15
3.68	0.13
3.71	0.15
3.73	0.15
3.76	0.13
3.78	0.15
3.80	0.15
3.83	0.13
3.85	0.14
3.88	0.15
3.90	0.14
3.93	0.14
3.95	0.15
3.98	0.15
4.00	0.13
4.02	0.16
4.05	0.16
4.07	0.14
4.10	0.15
4.12	0.15
4.15	0.14
4.17	0.14
4.20	0.16
4.22	0.15
4.24	0.14
4.27	0.15
4.29	0.15
4.32	0.13
4.34	0.16
4.37	0.16
4.39	0.14
4.42	0.15
4.44	0.16
4.46	0.15
4.49	0.14
4.51	0.15
4.54	0.15
4.56	0.14
4.59	0.15
4.61	0.15
4.63	0.14
4.66	0.14
4.68	0.14
4.71	0.14
4.73	0.15
4.76	0.15
4.78	0.14
4.81	0.15
4.83	0.15
4.85	0.15
4.88	0.15
4.90	0.15
4.93	0.15
4.95	0.13
4.98	0.14
5.00	0.14
5.03	0.14
5.05	0.15
5.07	0.15
5.10	0.15
5.12	0.15
5.15	0.15
5.17	0.15
5.20	0.15
5.22	0.15
5.25	0.14
5.27	0.14
5.29	0.15
5.32	0.14
5.34	0.13
5.37	0.15
5.39	0.15
5.42	0.13
5.44	0.15
5.47	0.15
5.49	0.13
5.51	0.14
5.54	0.15
5.56	0.14
5.59	0.14
5.61	0.15
5.64	0.15
5.66	0.13
5.68	0.15
5.71	0.15
5.73	0.13
5.76	0.15
5.78	0.15
5.81	0.14
5.83	0.14
5.86	0.16
5.88	0.15
5.90	0.14
5.93	0.17
5.95	0.17
5.98	0.15
6.00	0.18
6.03	0.18
6.05	0.16
6.08	0.17
6.10	0.18
6.12	0.17
6.15	0.17
6.17	0.19
6.20	0.19
6.22	0.17
6.25	0.21
6.27	0.21
6.30	0.19
6.32	0.21
6.34	0.22
6.37	0.21
6.39	0.23
6.42	0.24
6.44	0.23
6.47	0.23
6.49	0.26
6.52	0.26
6.54	0.23
6.56	0.26
6.59	0.27
6.61	0.24
6.64	0.27
6.66	0.30
6.69	0.28
6.71	0.28
6.73	0.31
6.76	0.31
6.78	0.29
6.81	0.33
6.83	0.33
6.86	0.30
6.88	0.33
6.91	0.35
6.93	0.32
6.95	0.34
6.98	0.37
