Voltage U1	Corriente IA
U1/V	IA/nA

0.02	0.05
0.04	0.05
0.07	0.06
0.09	0.06
0.12	0.06
0.14	0.07
0.17	0.07
0.19	0.07
0.21	0.08
0.24	0.09
0.26	0.08
0.29	0.08
0.31	0.10
0.34	0.10
0.36	0.10
0.39	0.12
0.41	0.11
0.43	0.10
0.46	0.12
0.48	0.11
0.51	0.11
0.53	0.11
0.56	0.12
0.58	0.12
0.61	0.12
0.63	0.13
0.65	0.12
0.68	0.12
0.70	0.14
0.73	0.12
0.75	0.12
0.78	0.13
0.80	0.12
0.83	0.12
0.85	0.12
0.87	0.13
0.90	0.12
0.92	0.13
0.95	0.14
0.97	0.13
1.00	0.13
1.02	0.14
1.05	0.12
1.07	0.12
1.09	0.12
1.12	0.12
1.14	0.12
1.17	0.12
1.19	0.14
1.22	0.12
1.24	0.13
1.26	0.14
1.29	0.13
1.31	0.13
1.34	0.13
1.36	0.12
1.39	0.12
1.41	0.12
1.44	0.12
1.46	0.12
1.48	0.12
1.51	0.14
1.53	0.12
1.56	0.12
1.58	0.13
1.61	0.12
1.63	0.12
1.66	0.12
1.68	0.12
1.70	0.12
1.73	0.12
1.75	0.13
1.78	0.12
1.80	0.12
1.83	0.14
1.85	0.12
1.88	0.12
1.90	0.12
1.92	0.11
1.95	0.11
1.97	0.11
2.00	0.12
2.02	0.12
2.05	0.12
2.07	0.13
2.10	0.12
2.12	0.12
2.14	0.12
2.17	0.11
2.19	0.11
2.22	0.11
2.24	0.10
2.27	0.10
2.29	0.10
2.31	0.13
2.34	0.12
2.36	0.12
2.39	0.14
2.41	0.12
2.44	0.12
2.46	0.12
2.49	0.12
2.51	0.12
2.53	0.12
2.56	0.13
2.58	0.12
2.61	0.12
2.63	0.14
2.66	0.13
2.68	0.12
2.71	0.13
2.73	0.13
2.75	0.13
2.78	0.13
2.80	0.13
2.83	0.13
2.85	0.13
2.88	0.15
2.90	0.15
2.93	0.15
2.95	0.16
2.97	0.14
3.00	0.14
3.02	0.14
3.05	0.13
3.07	0.13
3.10	0.13
3.12	0.14
3.15	0.13
3.17	0.13
3.19	0.15
3.22	0.14
3.24	0.14
3.27	0.15
3.29	0.13
3.32	0.13
3.34	0.13
3.36	0.13
3.39	0.13
3.41	0.13
3.44	0.15
3.46	0.13
3.49	0.13
3.51	0.15
3.54	0.12
3.56	0.12
3.58	0.13
3.61	0.12
3.63	0.12
3.66	0.12
3.68	0.13
3.71	0.13
3.73	0.13
3.76	0.14
3.78	0.13
3.80	0.13
3.83	0.14
3.85	0.12
3.88	0.12
3.90	0.13
3.93	0.13
3.95	0.12
3.98	0.12
4.00	0.14
4.02	0.13
4.05	0.13
4.07	0.14
4.10	0.12
4.12	0.12
4.15	0.13
4.17	0.12
4.20	0.12
4.22	0.12
4.24	0.13
4.27	0.13
4.29	0.12
4.32	0.14
4.34	0.13
4.37	0.13
4.39	0.13
4.42	0.12
4.44	0.12
4.46	0.12
4.49	0.12
4.51	0.11
4.54	0.11
4.56	0.13
4.59	0.12
4.61	0.12
4.63	0.14
4.66	0.12
4.68	0.12
4.71	0.12
4.73	0.11
4.76	0.11
4.78	0.11
4.81	0.13
4.83	0.12
4.85	0.12
4.88	0.14
4.90	0.12
4.93	0.12
4.95	0.13
4.98	0.12
5.00	0.12
5.03	0.12
5.05	0.13
5.07	0.12
5.10	0.12
5.12	0.14
5.15	0.12
5.17	0.12
5.20	0.13
5.22	0.12
5.25	0.12
5.27	0.12
5.29	0.12
5.32	0.12
5.34	0.12
5.37	0.13
5.39	0.12
5.42	0.12
5.44	0.14
5.47	0.12
5.49	0.12
5.51	0.13
5.54	0.11
5.56	0.11
5.59	0.11
5.61	0.12
5.64	0.11
5.66	0.11
5.68	0.13
5.71	0.12
5.73	0.12
5.76	0.14
5.78	0.12
5.81	0.12
5.83	0.12
5.86	0.12
5.88	0.12
5.90	0.12
5.93	0.13
5.95	0.13
5.98	0.13
6.00	0.13
6.03	0.12
6.05	0.12
6.08	0.12
6.10	0.12
6.12	0.12
6.15	0.12
6.17	0.13
6.20	0.12
6.22	0.12
6.25	0.14
6.27	0.13
6.30	0.13
6.32	0.13
6.34	0.11
6.37	0.11
6.39	0.12
6.42	0.11
6.44	0.11
6.47	0.11
6.49	0.12
6.52	0.11
6.54	0.11
6.56	0.13
6.59	0.11
6.61	0.11
6.64	0.11
6.66	0.11
6.69	0.11
6.71	0.11
6.73	0.12
6.76	0.11
6.78	0.11
6.81	0.13
6.83	0.12
6.86	0.12
6.88	0.13
6.91	0.11
6.93	0.11
6.95	0.11
6.98	0.12
