Voltage U1	Corriente IA
U1/V	IA/nA

0.02	0.25
0.04	0.24
0.07	0.22
0.09	0.22
0.12	0.20
0.14	0.19
0.17	0.18
0.19	0.17
0.21	0.16
0.24	0.14
0.26	0.14
0.29	0.13
0.31	0.11
0.34	0.11
0.36	0.09
0.39	0.09
0.41	0.10
0.43	0.09
0.46	0.09
0.48	0.09
0.51	0.09
0.53	0.09
0.56	0.09
0.58	0.10
0.61	0.10
0.63	0.10
0.65	0.11
0.68	0.09
0.70	0.09
0.73	0.09
0.75	0.09
0.78	0.09
0.80	0.09
0.83	0.10
0.85	0.09
0.87	0.09
0.90	0.10
0.92	0.09
0.95	0.09
0.97	0.10
1.00	0.09
1.02	0.09
1.05	0.09
1.07	0.09
1.09	0.09
1.12	0.09
1.14	0.10
1.17	0.10
1.19	0.10
1.22	0.10
1.24	0.09
1.26	0.09
1.29	0.09
1.31	0.09
1.34	0.09
1.36	0.09
1.39	0.10
1.41	0.10
1.44	0.10
1.46	0.11
1.48	0.10
1.51	0.10
1.53	0.10
1.56	0.09
1.58	0.09
1.61	0.09
1.63	0.09
1.66	0.09
1.68	0.09
1.70	0.10
1.73	0.09
1.75	0.09
1.78	0.10
1.80	0.09
1.83	0.09
1.85	0.09
1.88	0.09
1.90	0.09
1.92	0.09
1.95	0.10
1.97	0.09
2.00	0.09
2.02	0.10
2.05	0.09
2.07	0.09
2.10	0.09
2.12	0.09
2.14	0.09
2.17	0.09
2.19	0.09
2.22	0.09
2.24	0.09
2.27	0.11
2.29	0.10
2.31	0.10
2.34	0.10
2.36	0.09
2.39	0.09
2.41	0.09
2.44	0.09
2.46	0.09
2.49	0.09
2.51	0.11
2.53	0.10
2.56	0.10
2.58	0.11
2.61	0.09
2.63	0.09
2.66	0.09
2.68	0.09
2.71	0.09
2.73	0.09
2.75	0.10
2.78	0.09
2.80	0.09
2.83	0.10
2.85	0.09
2.88	0.09
2.90	0.10
2.93	0.09
2.95	0.09
2.97	0.09
3.00	0.09
3.02	0.09
3.05	0.09
3.07	0.10
3.10	0.09
3.12	0.09
3.15	0.10
3.17	0.09
3.19	0.09
3.22	0.09
3.24	0.09
3.27	0.09
3.29	0.09
3.32	0.10
3.34	0.10
3.36	0.10
3.39	0.11
3.41	0.10
3.44	0.10
3.46	0.10
3.49	0.09
3.51	0.09
3.54	0.09
3.56	0.09
3.58	0.09
3.61	0.09
3.63	0.11
3.66	0.10
3.68	0.10
3.71	0.11
3.73	0.09
3.76	0.09
3.78	0.09
3.80	0.09
3.83	0.09
3.85	0.09
3.88	0.10
3.90	0.09
3.93	0.09
3.95	0.10
3.98	0.09
4.00	0.09
4.02	0.09
4.05	0.08
4.07	0.08
4.10	0.08
4.12	0.09
4.15	0.09
4.17	0.09
4.20	0.10
4.22	0.09
4.24	0.09
4.27	0.10
4.29	0.09
4.32	0.09
4.34	0.09
4.37	0.09
4.39	0.09
4.42	0.09
4.44	0.11
4.46	0.11
4.49	0.11
4.51	0.12
4.54	0.10
4.56	0.10
4.59	0.11
4.61	0.11
4.63	0.11
4.66	0.11
4.68	0.12
4.71	0.11
4.73	0.11
4.76	0.13
4.78	0.12
4.81	0.12
4.83	0.13
4.85	0.13
4.88	0.13
4.90	0.14
4.93	0.14
4.95	0.14
4.98	0.14
5.00	0.16
5.03	0.15
5.05	0.15
5.07	0.17
5.10	0.15
5.12	0.15
5.15	0.16
5.17	0.17
5.20	0.17
5.22	0.17
5.25	0.18
5.27	0.17
5.29	0.17
5.32	0.20
5.34	0.18
5.37	0.18
5.39	0.20
5.42	0.20
5.44	0.20
5.47	0.21
5.49	0.21
5.51	0.20
5.54	0.20
5.56	0.22
5.59	0.21
5.61	0.21
5.64	0.23
5.66	0.21
5.68	0.21
5.71	0.23
5.73	0.22
5.76	0.22
5.78	0.23
5.81	0.24
5.83	0.23
5.86	0.23
5.88	0.25
5.90	0.23
5.93	0.23
5.95	0.25
5.98	0.24
6.00	0.24
6.03	0.25
6.05	0.26
6.08	0.25
6.10	0.25
6.12	0.27
6.15	0.25
6.17	0.25
6.20	0.27
6.22	0.26
6.25	0.26
6.27	0.28
6.30	0.28
6.32	0.27
6.34	0.27
6.37	0.29
6.39	0.28
6.42	0.28
6.44	0.30
6.47	0.28
6.49	0.28
6.52	0.30
6.54	0.30
6.56	0.30
6.59	0.31
6.61	0.31
6.64	0.30
6.66	0.30
6.69	0.32
6.71	0.30
6.73	0.30
6.76	0.33
6.78	0.32
6.81	0.32
6.83	0.34
6.86	0.34
6.88	0.33
6.91	0.33
6.93	0.34
6.95	0.32
6.98	0.32
