Voltage U1	Corriente IA
U1/V	IA/nA

0.02	0.06
0.04	0.06
0.07	0.06
0.09	0.06
0.12	0.06
0.14	0.08
0.17	0.08
0.19	0.08
0.21	0.09
0.24	0.09
0.26	0.09
0.29	0.09
0.31	0.10
0.34	0.10
0.36	0.09
0.39	0.10
0.41	0.09
0.43	0.09
0.46	0.11
0.48	0.10
0.51	0.10
0.53	0.11
0.56	0.09
0.58	0.09
0.61	0.09
0.63	0.09
0.65	0.09
0.68	0.09
0.70	0.10
0.73	0.10
0.75	0.10
0.78	0.11
0.80	0.09
0.83	0.09
0.85	0.10
0.87	0.09
0.90	0.09
0.92	0.09
0.95	0.10
0.97	0.10
1.00	0.10
1.02	0.11
1.05	0.10
1.07	0.10
1.09	0.11
1.12	0.09
1.14	0.09
1.17	0.09
1.19	0.09
1.22	0.09
1.24	0.09
1.26	0.10
1.29	0.09
1.31	0.09
1.34	0.11
1.36	0.09
1.39	0.09
1.41	0.10
1.44	0.09
1.46	0.09
1.48	0.09
1.51	0.09
1.53	0.09
1.56	0.09
1.58	0.10
1.61	0.09
1.63	0.09
1.66	0.10
1.68	0.09
1.70	0.09
1.73	0.08
1.75	0.09
1.78	0.09
1.80	0.09
1.83	0.10
1.85	0.09
1.88	0.09
1.90	0.11
1.92	0.09
1.95	0.09
1.97	0.10
2.00	0.09
2.02	0.09
2.05	0.09
2.07	0.10
2.10	0.10
2.12	0.10
2.14	0.11
2.17	0.10
2.19	0.10
2.22	0.11
2.24	0.09
2.27	0.09
2.29	0.09
2.31	0.09
2.34	0.09
2.36	0.09
2.39	0.11
2.41	0.10
2.44	0.10
2.46	0.11
2.49	0.10
2.51	0.10
2.53	0.10
2.56	0.09
2.58	0.09
2.61	0.09
2.63	0.10
2.66	0.10
2.68	0.10
2.71	0.11
2.73	0.10
2.75	0.10
2.78	0.10
2.80	0.09
2.83	0.09
2.85	0.09
2.88	0.09
2.90	0.09
2.93	0.09
2.95	0.10
2.97	0.10
3.00	0.10
3.02	0.11
3.05	0.10
3.07	0.10
3.10	0.11
3.12	0.10
3.15	0.10
3.17	0.10
3.19	0.11
3.22	0.10
3.24	0.10
3.27	0.11
3.29	0.11
3.32	0.10
3.34	0.11
3.36	0.09
3.39	0.09
3.41	0.09
3.44	0.09
3.46	0.09
3.49	0.09
3.51	0.11
3.54	0.10
3.56	0.10
3.58	0.11
3.61	0.10
3.63	0.10
3.66	0.10
3.68	0.09
3.71	0.09
3.73	0.09
3.76	0.09
3.78	0.09
3.80	0.09
3.83	0.10
3.85	0.09
3.88	0.09
3.90	0.10
3.93	0.09
3.95	0.09
3.98	0.09
4.00	0.10
4.02	0.10
4.05	0.10
4.07	0.11
4.10	0.10
4.12	0.10
4.15	0.11
4.17	0.10
4.20	0.10
4.22	0.10
4.24	0.10
4.27	0.10
4.29	0.10
4.32	0.11
4.34	0.10
4.37	0.10
4.39	0.12
4.42	0.11
4.44	0.11
4.46	0.12
4.49	0.11
4.51	0.11
4.54	0.11
4.56	0.10
4.59	0.10
4.61	0.10
4.63	0.12
4.66	0.11
4.68	0.11
4.71	0.13
4.73	0.11
4.76	0.11
4.78	0.12
4.81	0.11
4.83	0.11
4.85	0.11
4.88	0.12
4.90	0.12
4.93	0.12
4.95	0.13
4.98	0.12
5.00	0.12
5.03	0.14
5.05	0.12
5.07	0.12
5.10	0.12
5.12	0.13
5.15	0.13
5.17	0.13
5.20	0.14
5.22	0.13
5.25	0.13
5.27	0.15
5.29	0.13
5.32	0.13
5.34	0.13
5.37	0.13
5.39	0.13
5.42	0.13
5.44	0.14
5.47	0.13
5.49	0.13
5.51	0.15
5.54	0.14
5.56	0.14
5.59	0.15
5.61	0.14
5.64	0.14
5.66	0.14
5.68	0.14
5.71	0.13
5.73	0.13
5.76	0.16
5.78	0.15
5.81	0.15
5.83	0.16
5.86	0.14
5.88	0.14
5.90	0.15
5.93	0.14
5.95	0.14
5.98	0.14
6.00	0.16
6.03	0.15
6.05	0.15
6.08	0.16
6.10	0.15
6.12	0.15
6.15	0.16
6.17	0.15
6.20	0.15
6.22	0.16
6.25	0.16
6.27	0.16
6.30	0.16
6.32	0.18
6.34	0.16
6.37	0.16
6.39	0.18
6.42	0.16
6.44	0.16
6.47	0.16
6.49	0.16
6.52	0.16
6.54	0.16
6.56	0.18
6.59	0.17
6.61	0.17
6.64	0.20
6.66	0.18
6.69	0.18
6.71	0.19
6.73	0.18
6.76	0.18
6.78	0.19
6.81	0.19
6.83	0.18
6.86	0.18
6.88	0.20
6.91	0.19
6.93	0.19
6.95	0.21
6.98	0.19
